year,inflow
1930-06-18,1415.127686
1930-06-19,1327.62085
1930-06-20,1305.744141
1930-06-21,1276.575073
1930-06-22,1356.789795
1930-06-23,1429.71228
1930-06-24,1553.680298
1930-06-25,1677.648438
1930-06-26,1721.401978
1930-06-27,1772.447632
1930-06-28,1859.95459
1930-06-29,1735.98645
1930-06-30,1721.401978
1930-07-01,1820.782349
1930-07-02,1793.275635
1930-07-03,1772.64563
1930-07-04,1669.495606
1930-07-05,1573.222168
1930-07-06,1586.975464
1930-07-07,1593.852173
1930-07-08,1669.495606
1930-07-09,1738.262329
1930-07-10,1855.165772
1930-07-11,1972.069214
1930-07-12,2061.466065
1930-07-13,2185.246094
1930-07-14,2377.792969
1930-07-15,2577.216553
1930-07-16,2419.052979
1930-07-17,2164.616211
1930-07-18,1923.932495
1930-07-19,1676.372192
1930-07-20,1669.495606
1930-07-21,1669.495606
1930-07-22,1738.262329
1930-07-23,1807.029053
1930-07-24,1937.685791
1930-07-25,1813.905762
1930-07-26,1690.12561
1930-07-27,1435.688599
1930-07-28,1298.155151
1930-07-29,1167.498291
1930-07-30,1318.785156
1930-07-31,1476.948608
1930-08-01,1558.94397
1930-08-02,1472.367065
1930-08-03,1354.869995
1930-08-04,1237.372803
1930-08-05,1280.661255
1930-08-06,1330.133789
1930-08-07,1379.606201
1930-08-08,1429.078735
1930-08-09,1497.103394
1930-08-10,1558.94397
1930-08-11,1608.416382
1930-08-12,1664.072998
1930-08-13,1664.072998
1930-08-14,1558.94397
1930-08-15,1565.128052
1930-08-16,1515.655518
1930-08-17,1453.814941
1930-08-18,1391.974365
1930-08-19,1262.109131
1930-08-20,1138.427856
1930-08-21,1101.323486
1930-08-22,1058.035156
1930-08-23,1058.035156
1930-08-24,1058.035156
1930-08-25,1058.035156
1930-08-26,1014.746704
1930-08-27,965.274231
1930-08-28,909.6176758
1930-08-29,940.5379639
1930-08-30,965.274231
1930-08-31,959.0901489
1930-09-01,743.9338989
1930-09-02,650.5298462
1930-09-03,695.4805298
1930-09-04,738.0961304
1930-09-05,784.7981567
1930-09-06,831.5001831
1930-09-07,813.9869385
1930-09-08,819.824707
1930-09-09,819.824707
1930-09-10,819.824707
1930-09-11,819.824707
1930-09-12,802.3114014
1930-09-13,778.9603882
1930-09-14,644.1083374
1930-09-15,680.3024292
1930-09-16,714.7451172
1930-09-17,707.1560669
1930-09-18,695.4805298
1930-09-19,796.4736938
1930-09-20,644.1083374
1930-09-21,582.8119507
1930-09-22,540.1963501
1930-09-23,502.250946
1930-09-24,463.7218018
1930-09-25,425.7763977
1930-09-26,411.1820374
1930-09-27,396.0038757
1930-09-28,493.4943237
1930-09-29,465.473114
1930-09-30,435.700592
1930-10-01,284.7151794
1930-10-02,302.0453796
1930-10-03,298.6911621
1930-10-04,295.8959656
1930-10-05,292.5417175
1930-10-06,298.6911621
1930-10-07,305.3996277
1930-10-08,302.0453796
1930-10-09,298.6911621
1930-10-10,283.0380554
1930-10-11,267.3849792
1930-10-12,260.6765137
1930-10-13,251.1728516
1930-10-14,243.3462982
1930-10-15,235.5197601
1930-10-16,227.6932068
1930-10-17,222.6618652
1930-10-18,218.1895447
1930-10-19,218.1895447
1930-10-20,218.1895447
1930-10-21,218.1895447
1930-10-22,215.9533844
1930-10-23,214.2762756
1930-10-24,221.5437775
1930-10-25,227.6932068
1930-10-26,224.338974
1930-10-27,221.5437775
1930-10-28,218.1895447
1930-10-29,212.5991516
1930-10-30,207.5678101
1930-10-31,205.890686
1930-11-01,174.7786102
1930-11-02,171.1512909
1930-11-03,169.3376312
1930-11-04,167.5239716
1930-11-05,165.7103119
1930-11-06,163.8966522
1930-11-07,160.2693329
1930-11-08,157.2465668
1930-11-09,157.2465668
1930-11-10,169.3376312
1930-11-11,182.0332642
1930-11-12,176.5922852
1930-11-13,171.1512909
1930-11-14,157.2465668
1930-11-15,143.3418274
1930-11-16,139.7145081
1930-11-17,136.0871887
1930-11-18,133.0644073
1930-11-19,133.0644073
1930-11-20,133.0644073
1930-11-21,131.2507477
1930-11-22,129.437088
1930-11-23,125.8097687
1930-11-24,125.8097687
1930-11-25,125.8097687
1930-11-26,124.6006622
1930-11-27,122.7870026
1930-11-28,120.9733429
1930-11-29,119.1596832
1930-11-30,102.836731
1930-12-01,108.4515762
1930-12-02,114.8186874
1930-12-03,122.6551285
1930-12-04,114.8186874
1930-12-05,113.34935
1930-12-06,112.3697968
1930-12-07,112.3697968
1930-12-08,112.3697968
1930-12-09,112.3697968
1930-12-10,109.4311295
1930-12-11,106.4924698
1930-12-12,105.5129089
1930-12-13,104.0435791
1930-12-14,104.0435791
1930-12-15,104.0435791
1930-12-16,104.0435791
1930-12-17,102.5742493
1930-12-18,101.1049118
1930-12-19,100.1253586
1930-12-20,98.6560287
1930-12-21,95.7173615
1930-12-22,92.7786942
1930-12-23,90.3298111
1930-12-24,89.3502579
1930-12-25,88.370697
1930-12-26,86.4115906
1930-12-27,84.4524765
1930-12-28,84.4524765
1930-12-29,78.428215
1930-12-30,72.2080383
1930-12-31,68.5836868
1931-01-01,66.3596878
1931-01-02,72.0048904
1931-01-03,77.7009583
1931-01-04,77.7009583
1931-01-05,81.260994
1931-01-06,84.3124542
1931-01-07,83.8038788
1931-01-08,83.2953033
1931-01-09,80.2438431
1931-01-10,77.7009583
1931-01-11,77.7009583
1931-01-12,77.7009583
1931-01-13,77.7009583
1931-01-14,76.1752243
1931-01-15,74.7003479
1931-01-16,76.1752243
1931-01-17,77.7009583
1931-01-18,77.7009583
1931-01-19,77.7009583
1931-01-20,77.7009583
1931-01-21,76.1752243
1931-01-22,74.7003479
1931-01-23,79.2266846
1931-01-24,83.2953033
1931-01-25,86.3467636
1931-01-26,87.8724976
1931-01-27,89.3982239
1931-01-28,87.8724976
1931-01-29,86.3467636
1931-01-30,87.8724976
1931-01-31,88.8896484
1931-02-01,85.1386108
1931-02-02,82.3602371
1931-02-03,79.5818634
1931-02-04,73.8861923
1931-02-05,68.0053024
1931-02-06,71.154129
1931-02-07,72.9600677
1931-02-08,74.5344849
1931-02-09,74.5344849
1931-02-10,74.5344849
1931-02-11,73.2379074
1931-02-12,71.94133
1931-02-13,69.4407959
1931-02-14,66.9402618
1931-02-15,64.5786438
1931-02-16,66.9402618
1931-02-17,69.3018799
1931-02-18,73.2379074
1931-02-19,77.2665482
1931-02-20,75.8773651
1931-02-21,74.5344849
1931-02-22,74.5344849
1931-02-23,73.7472763
1931-02-24,72.9600677
1931-02-25,72.4506989
1931-02-26,71.94133
1931-02-27,71.94133
1931-02-28,71.94133
1931-03-01,77.7092896
1931-03-02,82.5961761
1931-03-03,82.5961761
1931-03-04,83.9289703
1931-03-05,85.2617569
1931-03-06,82.1519165
1931-03-07,78.5978165
1931-03-08,77.7092896
1931-03-09,80.3748627
1931-03-10,82.5961761
1931-03-11,76.420929
1931-03-12,70.1568222
1931-03-13,75.1769867
1931-03-14,80.3748627
1931-03-15,81.2633896
1931-03-16,83.4847031
1931-03-17,85.2617569
1931-03-18,87.92733
1931-03-19,90.1486511
1931-03-20,99.9224319
1931-03-21,110.1404724
1931-03-22,119.9142609
1931-03-23,119.0257339
1931-03-24,117.6929398
1931-03-25,113.6945801
1931-03-26,110.1404724
1931-03-27,103.476532
1931-03-28,96.3683243
1931-03-29,95.479805
1931-03-30,95.9240646
1931-03-31,96.3683243
1931-04-01,95.0725861
1931-04-02,98.3179779
1931-04-03,96.3707428
1931-04-04,94.4235077
1931-04-05,98.3179779
1931-04-06,117.7903442
1931-04-07,138.5608673
1931-04-08,174.2602081
1931-04-09,164.5240326
1931-04-10,156.7350769
1931-04-11,149.5952148
1931-04-12,149.5952148
1931-04-13,149.5952148
1931-04-14,149.5952148
1931-04-15,150.8933716
1931-04-16,152.8406067
1931-04-17,158.682312
1931-04-18,164.5240326
1931-04-19,166.4712677
1931-04-20,159.3313904
1931-04-21,152.8406067
1931-04-22,150.8933716
1931-04-23,149.5952148
1931-04-24,173.6111298
1931-04-25,197.6270447
1931-04-26,222.9411316
1931-04-27,241.7644196
1931-04-28,261.8858643
1931-04-29,326.1446838
1931-04-30,388.4562378
1931-05-01,460.8147888
1931-05-02,578.2990723
1931-05-03,689.4518433
1931-05-04,731.6617432
1931-05-05,766.8366699
1931-05-06,872.3615112
1931-05-07,984.9212646
1931-05-08,844.2215576
1931-05-09,710.5568237
1931-05-10,595.8865356
1931-05-11,595.8865356
1931-05-12,595.8865356
1931-05-13,794.9766235
1931-05-14,991.9562378
1931-05-15,1357.775513
1931-05-16,1392.95044
1931-05-17,1378.880493
1931-05-18,1174.865845
1931-05-19,970.8513184
1931-05-20,837.1865845
1931-05-21,696.4868164
1931-05-22,647.2419434
1931-05-23,588.1480713
1931-05-24,583.927063
1931-05-25,579.7060547
1931-05-26,578.2990723
1931-05-27,579.7060547
1931-05-28,579.7060547
1931-05-29,668.3468628
1931-05-30,752.7667236
1931-05-31,963.8162842
1931-06-01,1218.237183
1931-06-02,1444.296753
1931-06-03,1437.004517
1931-06-04,1364.082031
1931-06-05,1364.082031
1931-06-06,1371.374268
1931-06-07,1612.018311
1931-06-08,2042.26062
1931-06-09,2348.534912
1931-06-10,2414.165039
1931-06-11,2392.28833
1931-06-12,1911.000244
1931-06-13,1655.771729
1931-06-14,1509.92688
1931-06-15,1575.557129
1931-06-16,1633.89502
1931-06-17,1867.246826
1931-06-18,2100.598633
